,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
124,Waterman,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
125,Zim,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,MOL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6
127,MSC,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
128,Trans Freignt Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
129,Y-S Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,Atlanttrafik/Barber Blue Sea,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
131,Cosco,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,9,9,9,9,9,13,15,15,15,16,16,16,16
132,K-Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
133,Blasco,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,BSC,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
135,Montemar,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4
136,Evergreen,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,13,16,18,18,18,18,18,24,24,24,24,24,24,24,24,24
137,Iino Line,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,Blue Funnel Kine,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,ENC,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
140,Franco-Belgian Services,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
141,Mixte,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,SCI,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
143,Blatic Shipping Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
144,Contract Marine Carriers,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
145,Latvian Shipping Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,Nav del Odiel,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
147,ScanPacific Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,Splosna Plovba,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,8,8,9,9,11,11,11,11,11,11,11,11,11,11
149,Elma,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
150,MOL,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,5,7,7,9,9,10,15,15,18,20,20,20,20
151,PIL,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
152,Y-S Line,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
153,Grancolombiana,all_routes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
154,Admiral Lines,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,Chargeurs Reunis,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,Cie Generale Maritime,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,9,11,11,11,11,11,11
157,CMB,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,7,7,8,8,8,8,8,8,9,9,9,9
158,EAC,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
159,Finland Steamship,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,Hong Kong Cont Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
161,Nedlloyd,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
162,P&O Containers,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,6
163,Sinotrans,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
164,Deutsche Afrika-Linien,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,Elma,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7,8,9,11,11,11,11,11,12,12,13,13,13,13
166,Euro-Gulf,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
167,Harrison Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
168,Hoegh Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
